case_study,dmn_file,decision_name,io,variable_name,feel_type,mapper_predicted_type,mapper_confidence,llm_verdict,llm_predicted_table,llm_predicted_column,candidate_votes
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,enrolledStudentCount,number,"likely derived (auto, low confidence -- needs review)",0.37,no confident match (LLM rejected all candidates),,,"NUMEN_EMPLOYEEDETAIL.REG_STUDENT (no, 0.37, votes={'no': 1}); PHD_I_DOCUMENTS.FOR_STUDENT (no, 0.37, votes={'no': 1}); FMSPONSOREDSTUDENT.STUDENT_SPONSID (no, 0.37, votes={'no': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,input,isObsGroup,boolean,needs review (no confident match),0.356,confirmed,concept,is_set,"concept.is_set (yes, 0.36, votes={'yes': 1}); field_type.is_set (no, 0.31, votes={'no': 1}); concept_map_type.is_hidden (no, 0.28, votes={'no': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,input,isObsGroup,boolean,needs review (no confident match),0.356,confirmed,concept,is_set,"concept.is_set (yes, 0.36, votes={'yes': 1}); field_type.is_set (no, 0.31, votes={'no': 1}); concept_map_type.is_hidden (no, 0.28, votes={'no': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,input,anyValueFieldSet,boolean,"likely derived (auto, low confidence -- needs review)",0.324,no confident match (LLM rejected all candidates),,,"concept.is_set (no, 0.32, votes={'no': 1}); field_type.is_set (no, 0.27, votes={'no': 1}); concept_name.locale_preferred (no, 0.22, votes={'no': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,input,valueNumericHasFraction,boolean,needs review (no confident match),0.201,unknown (model could not judge confidently),,,"obs.value_numeric (unknown, 0.20, votes={'unknown': 1}); concept_name.locale_preferred (no, 0.19, votes={'no': 1}); concept_numeric.allow_decimal (no, 0.17, votes={'no': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,hiAbsoluteSet,boolean,needs review (no confident match),0.424,confirmed,concept_numeric,hi_absolute,"concept.is_set (no, 0.42, votes={'no': 1}); field_type.is_set (no, 0.37, votes={'no': 1}); concept_numeric.hi_absolute (yes, 0.31, votes={'yes': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,lowAbsoluteSet,boolean,needs review (no confident match),0.367,confirmed,concept_numeric,low_absolute,"concept.is_set (no, 0.37, votes={'no': 1}); field_type.is_set (no, 0.32, votes={'no': 1}); concept_numeric.low_absolute (yes, 0.31, votes={'yes': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,isIndexTerm,boolean,needs review (no confident match),0.413,no confident match (LLM rejected all candidates),,,"concept_map_type.is_hidden (no, 0.41, votes={'no': 1}); concept.is_set (no, 0.40, votes={'no': 1}); field_type.is_set (no, 0.35, votes={'no': 1})"
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,isShortName,boolean,needs review (no confident match),0.399,no confident match (LLM rejected all candidates),,,"concept.is_set (no, 0.40, votes={'no': 1}); concept_map_type.is_hidden (no, 0.37, votes={'no': 1}); field_type.is_set (no, 0.35, votes={'no': 1})"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateActivatedSet,boolean,needs review (no confident match),0.301,confirmed,orders,date_activated,"concept.is_set (no, 0.30, votes={'no': 1}); field_type.is_set (no, 0.30, votes={'no': 1}); orders.date_activated (yes, 0.26, votes={'yes': 1})"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,evaluationTime,date,needs review (no confident match),0.41,no confident match (LLM rejected all candidates),,,"scheduler_task_config.last_execution_time (no, 0.41, votes={'no': 1}); scheduler_task_config.start_time (no, 0.41, votes={'no': 1}); obs.value_datetime (no, 0.32, votes={'no': 1})"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateStoppedSet,boolean,needs review (no confident match),0.318,confirmed,orders,date_stopped,"concept.is_set (no, 0.32, votes={'no': 1}); field_type.is_set (no, 0.32, votes={'no': 1}); orders.date_stopped (yes, 0.26, votes={'yes': 1})"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,autoExpireDateSet,boolean,needs review (no confident match),0.278,confirmed,orders,auto_expire_date,"orders.auto_expire_date (yes, 0.28, votes={'yes': 1}); concept.is_set (no, 0.27, votes={'no': 1}); field_type.is_set (no, 0.27, votes={'no': 1})"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,encounterDatetimeSet,boolean,needs review (no confident match),0.276,confirmed,encounter,encounter_datetime,"concept.is_set (no, 0.28, votes={'no': 1}); field_type.is_set (no, 0.28, votes={'no': 1}); encounter.encounter_datetime (yes, 0.27, votes={'yes': 1})"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,violationReasons,,needs review (no confident match),0.277,no confident match (LLM rejected all candidates),,,"order_attribute.void_reason (no, 0.28, votes={'no': 1}); order_group.void_reason (no, 0.28, votes={'no': 1}); order_group_attribute.void_reason (no, 0.28, votes={'no': 1})"
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,input,scheduledDateSet,boolean,needs review (no confident match),0.301,confirmed,orders,scheduled_date,"concept.is_set (no, 0.30, votes={'no': 1}); field_type.is_set (no, 0.30, votes={'no': 1}); orders.scheduled_date (yes, 0.26, votes={'yes': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,input,preferredIdentifierCount,number,"likely derived (auto, low confidence -- needs review)",0.441,no confident match (LLM rejected all candidates),,,"patient_identifier.identifier_type (no, 0.44, votes={'no': 1}); patient_identifier.patient_identifier_id (no, 0.40, votes={'no': 1}); patient_identifier_type.patient_identifier_type_id (no, 0.38, votes={'no': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,input,locationSet,boolean,needs review (no confident match),0.395,no confident match (LLM rejected all candidates),,,"concept.is_set (no, 0.40, votes={'no': 1}); field_type.is_set (no, 0.40, votes={'no': 1}); drug.combination (no, 0.25, votes={'no': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,inUseByAnotherPatient,boolean,needs review (no confident match),0.225,no confident match (LLM rejected all candidates),,,"notification_alert.satisfied_by_any (no, 0.22, votes={'no': 1}); drug_order.dispense_as_written (no, 0.20, votes={'no': 1}); concept_map_type.is_hidden (no, 0.18, votes={'no': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,duplicateWithinSamePatient,boolean,"likely derived (auto, low confidence -- needs review)",0.18,no confident match (LLM rejected all candidates),,,"person.birthdate_estimated (no, 0.18, votes={'no': 1}); person.deathdate_estimated (no, 0.18, votes={'no': 1}); drug.combination (no, 0.17, votes={'no': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,identifierBlank,boolean,needs review (no confident match),0.272,confirmed,patient_identifier,identifier,"patient_identifier.identifier (yes, 0.27, votes={'yes': 1}); notification_alert.satisfied_by_any (no, 0.23, votes={'no': 1}); provider.identifier (no, 0.22, votes={'no': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,formatSet,boolean,needs review (no confident match),0.363,confirmed,patient_identifier_type,format,"concept.is_set (no, 0.36, votes={'no': 1}); field_type.is_set (no, 0.36, votes={'no': 1}); patient_identifier_type.format (yes, 0.27, votes={'yes': 1})"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,identifierMatchesFormat,boolean,"likely derived (auto, low confidence -- needs review)",0.21,unknown (model could not judge confidently),,,"patient_identifier.identifier (unknown, 0.21, votes={'unknown': 1}); patient_identifier.identifier_type (no, 0.20, votes={'no': 1}); person.birthdate_estimated (no, 0.19, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,evaluationTime,date,needs review (no confident match),0.41,no confident match (LLM rejected all candidates),,,"scheduler_task_config.last_execution_time (no, 0.41, votes={'no': 1}); scheduler_task_config.start_time (no, 0.41, votes={'no': 1}); obs.value_datetime (no, 0.32, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,yearsSinceBirthdate,number,needs review (no confident match),0.225,no confident match (LLM rejected all candidates),,,"hl7_in_archive.message_state (no, 0.23, votes={'no': 1}); hl7_in_queue.message_state (no, 0.23, votes={'no': 1}); person_attribute.person_attribute_id (no, 0.22, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,causeOfDeathSet,boolean,needs review (no confident match),0.325,confirmed,person,cause_of_death,"person.cause_of_death (yes, 0.32, votes={'yes': 1}); concept.is_set (no, 0.28, votes={'no': 1}); field_type.is_set (no, 0.28, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,causeOfDeathNonCodedSet,boolean,needs review (no confident match),0.344,confirmed,person,cause_of_death_non_coded,"person.cause_of_death_non_coded (yes, 0.34, votes={'yes': 1}); person.cause_of_death (no, 0.25, votes={'no': 1}); person.deathdate_estimated (no, 0.22, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,deathDateSet,boolean,needs review (no confident match),0.369,confirmed,person,death_date,"person.deathdate_estimated (no, 0.37, votes={'no': 1}); person.death_date (yes, 0.31, votes={'yes': 1}); concept.is_set (no, 0.29, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,evaluationTime,date,needs review (no confident match),0.41,no confident match (LLM rejected all candidates),,,"scheduler_task_config.last_execution_time (no, 0.41, votes={'no': 1}); scheduler_task_config.start_time (no, 0.41, votes={'no': 1}); obs.value_datetime (no, 0.32, votes={'no': 1})"
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency,input,violationReasons,,needs review (no confident match),0.277,no confident match (LLM rejected all candidates),,,"person.void_reason (no, 0.28, votes={'no': 1}); person_address.void_reason (no, 0.28, votes={'no': 1}); person_attribute.void_reason (no, 0.28, votes={'no': 1})"
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,evaluationTime,date,needs review (no confident match),0.41,no confident match (LLM rejected all candidates),,,"scheduler_task_config.last_execution_time (no, 0.41, votes={'no': 1}); scheduler_task_config.start_time (no, 0.41, votes={'no': 1}); obs.value_datetime (no, 0.32, votes={'no': 1})"
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateCompletedSet,boolean,needs review (no confident match),0.315,confirmed,patient_program,date_completed,"patient_program.date_completed (yes, 0.31, votes={'yes': 1}); concept.is_set (no, 0.26, votes={'no': 1}); field_type.is_set (no, 0.26, votes={'no': 1})"
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency,input,violationReasons,,needs review (no confident match),0.277,no confident match (LLM rejected all candidates),,,"patient_program.void_reason (no, 0.28, votes={'no': 1}); patient_program_attribute.void_reason (no, 0.28, votes={'no': 1}); program.retire_reason (no, 0.26, votes={'no': 1})"
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,startDateSet,boolean,needs review (no confident match),0.338,no confident match (LLM rejected all candidates),,,"concept.is_set (no, 0.34, votes={'no': 1}); field_type.is_set (no, 0.34, votes={'no': 1}); scheduler_task_config.start_on_startup (no, 0.34, votes={'no': 1})"
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,endDateSet,boolean,needs review (no confident match),0.306,confirmed,patient_state,end_date,"concept.is_set (no, 0.31, votes={'no': 1}); field_type.is_set (no, 0.31, votes={'no': 1}); patient_state.end_date (yes, 0.30, votes={'yes': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,startDateSet,boolean,needs review (no confident match),0.338,no confident match (LLM rejected all candidates),,,"concept.is_set (no, 0.34, votes={'no': 1}); field_type.is_set (no, 0.34, votes={'no': 1}); scheduler_task_config.start_on_startup (no, 0.34, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,endDateSet,boolean,needs review (no confident match),0.306,confirmed,relationship,end_date,"concept.is_set (no, 0.31, votes={'no': 1}); field_type.is_set (no, 0.31, votes={'no': 1}); relationship.end_date (yes, 0.30, votes={'yes': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,evaluationTime,date,needs review (no confident match),0.41,no confident match (LLM rejected all candidates),,,"scheduler_task_config.last_execution_time (no, 0.41, votes={'no': 1}); scheduler_task_config.start_time (no, 0.41, votes={'no': 1}); obs.value_datetime (no, 0.32, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity,input,violationReasons,,needs review (no confident match),0.277,no confident match (LLM rejected all candidates),,,"encounter.void_reason (no, 0.28, votes={'no': 1}); encounter_diagnosis.void_reason (no, 0.28, votes={'no': 1}); encounter_provider.void_reason (no, 0.28, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitPatientId,string,needs review (no confident match),0.333,no confident match (LLM rejected all candidates),,,"users.system_id (no, 0.33, votes={'no': 1}); encounter.patient_id (no, 0.30, votes={'no': 1}); encounter_diagnosis.patient_id (no, 0.30, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,encounterPatientId,string,needs review (no confident match),0.324,no confident match (LLM rejected all candidates),,,"encounter.encounter_id (no, 0.32, votes={'no': 1}); concept_reference_source.unique_id (no, 0.30, votes={'no': 1}); encounter_diagnosis.encounter_id (no, 0.29, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,evaluationTime,date,needs review (no confident match),0.41,no confident match (LLM rejected all candidates),,,"scheduler_task_config.last_execution_time (no, 0.41, votes={'no': 1}); scheduler_task_config.start_time (no, 0.41, votes={'no': 1}); obs.value_datetime (no, 0.32, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitStopDatetime,date,needs review (no confident match),0.419,no confident match (LLM rejected all candidates),,,"encounter.encounter_datetime (no, 0.42, votes={'no': 1}); obs.obs_datetime (no, 0.42, votes={'no': 1}); obs.value_datetime (no, 0.40, votes={'no': 1})"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity,input,violationReasons,,needs review (no confident match),0.277,no confident match (LLM rejected all candidates),,,"encounter.void_reason (no, 0.28, votes={'no': 1}); encounter_diagnosis.void_reason (no, 0.28, votes={'no': 1}); encounter_provider.void_reason (no, 0.28, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,Customer Group Match Count,input,promotionTargetGroupIds,,needs review (no confident match),0.334,no confident match (LLM rejected all candidates),,,"spree_order_promotions.promotion_id (no, 0.33, votes={'no': 1}); spree_promotion_actions.promotion_id (no, 0.33, votes={'no': 1}); spree_promotion_rules.promotion_id (no, 0.33, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,customerIdPresent,boolean,needs review (no confident match),0.363,no confident match (LLM rejected all candidates),,,"spree_order_cancellations.notify_customer (no, 0.36, votes={'no': 1}); spree_payment_sessions.customer_id (no, 0.24, votes={'no': 1}); spree_payment_setup_sessions.customer_id (no, 0.24, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,promotionTargetGroupsConfigured,boolean,needs review (no confident match),0.225,no confident match (LLM rejected all candidates),,,"spree_products.promotionable (no, 0.23, votes={'no': 1}); spree_countries.states_required (no, 0.18, votes={'no': 1}); spree_promotion_action_line_items.promotion_action_id (no, 0.17, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,currentOrder,,needs review (no confident match),0.399,no confident match (LLM rejected all candidates),,,"spree_collections.sort_order (no, 0.40, votes={'no': 1}); spree_categories.sort_order (no, 0.40, votes={'no': 1}); spree_product_type_custom_field_definitions.sort_order (no, 0.40, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,input,userOrEmailPresent,boolean,needs review (no confident match),0.289,no confident match (LLM rejected all candidates),,,"spree_customers.accepts_email_marketing (no, 0.29, votes={'no': 1}); spree_order_cancellations.refund_payments (no, 0.21, votes={'no': 1}); spree_companies.po_number_required (no, 0.20, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,input,customerPresent,boolean,needs review (no confident match),0.423,no confident match (LLM rejected all candidates),,,"spree_order_cancellations.notify_customer (no, 0.42, votes={'no': 1}); spree_price_lists.adjust_compare_at (no, 0.25, votes={'no': 1}); spree_payment_methods.auto_capture (no, 0.20, votes={'no': 1})"
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,input,priorPromotionUsageCount,number,"likely derived (auto, low confidence -- needs review)",0.414,no confident match (LLM rejected all candidates),,,"spree_promotion_action_line_items.promotion_action_id (no, 0.41, votes={'no': 1}); spree_promotion_actions.promotion_id (no, 0.39, votes={'no': 1}); spree_promotion_rules.promotion_id (no, 0.39, votes={'no': 1})"
