dmn_file,decision_name,variable_name,io,jbilling_column,mapping_type,notes
Ageing_and_Dunning.dmn,Ageing Step Config Validation,inUse,input,"ageing_entity_step (entity_id, status_id)",derived,"[ASSUMED -- no source documentation for the exact entity/status correlation; researcher interpretation for evaluation-coverage purposes, not verified against the real jBilling system, 2026-09-24] A UI-only transient boolean; on load, set true from existence of a matching ageing_entity_step row for THIS user's own entity_id and status_id -- there is no in_use column on the table itself. Force-overridden to true for the ACTIVE row before this gate is evaluated."
Ageing_and_Dunning.dmn,Ageing Step Config Validation,welcomeMessagePresent,input,INTERNATIONAL_DESCRIPTION(PSUDO_COLUMN='welcome_message'),derived,"[ASSUMED -- no source documentation available; researcher interpretation for evaluation-coverage purposes, not verified against the real jBilling system, 2026-09-22] Reads existence of a row in the real, general-purpose i18n description table INTERNATIONAL_DESCRIPTION (columns: table_id, foreign_id, language_id, psudo_column, content) filtered to PSUDO_COLUMN='welcome_message', matching this row's own original note ('generic i18n description mechanism'). Approximates existence across the whole table rather than scoped to this specific ageing step's own foreign_id/table_id, since correlating those requires more context than is available here -- a real, disclosed simplification, not a guess at the mechanism itself, which was independently confirmed to exist with exactly this shape."
Ageing_and_Dunning.dmn,Ageing Step Config Validation,days,input,MAX(ageing_entity_step.days) WHERE entity_id=<entity_id> AND status_id=<status_id>,derived-aggregate,"[ASSUMED -- no source documentation for the exact entity/status correlation; researcher interpretation for evaluation-coverage purposes, not verified against the real jBilling system, 2026-09-24] ageing_entity_step.days is a real NOT NULL integer column; re-expressed as MAX over the (entity_id, status_id)-scoped ageing_entity_step row for this user, since a bare column read has no way to encode which specific step row is meant (multiple exist per entity, one per ageing status) -- the original mapping named the column but not this correlation."
Ageing_and_Dunning.dmn,Ageing Step Config Validation,validationResult,output,n/a,not-persisted,Validation is either a thrown exception (with an error-message code) or a silent pass; there is no stored validation-result column -- this is a synthetic aggregation of which exception (if any) is thrown.
Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,processorUnavailable,input,n/a,not-persisted,Transient loop flag in PaymentBL.processPayment; never written to any table column.
Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,paymentResultId,input,payment.result_id,derived,"Read from the last pluggable payment task attempt, before any persistence step visible in this file."
Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,resultCode,output,payment.result_id,SCHEMA GAP,"Re-examined 2026-09-11: unlike semesterType, this was never a closest-table-not-found gap -- payment.result_id (a real FK to payment_result.id, codes 1-4 in the data) was already correctly identified. The SCHEMA GAP label is about a different, already-verified concern: PaymentBL.java never shows this decision's computed value being saved back onto the payment entity (create(info) runs before the pluggable-task loop) -- the save-back path, if any, is outside this file, so the write side stays a genuine gap regardless of the read-side mapping being correct. Per project-owner domain knowledge, the codes mean: 1=approved, 2=declined, 3=incorrect (data), 4=reject."
Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,resultCode,input,payment.result_id,derived,Consumed as-is from Payment Outcome Resolution's output (requires chain).
Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,paymentAmount,input,payment.amount,direct - exact match,"payment.amount is a NOT NULL numeric(22,10) column."
Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,balance,output,payment.balance,direct - exact match,"Written directly onto the payment.balance numeric(22,10) column."
Payment_Authorization_and_Blacklist.dmn,Blacklist Filter Enabled,blacklistPluginId,input,preference.value,derived,"Reads the generic preference(type_id, table_id, foreign_id, value) table (type_id=PREFERENCE_USE_BLACKLIST=43), not a dedicated blacklist-config column."
Payment_Authorization_and_Blacklist.dmn,Blacklist Filter Enabled,blacklistEnabled,output,n/a,not-persisted,Returned directly to callers (payment processing / filter instantiation); never stored anywhere.
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,eventType,input,n/a,derived,Discriminated from which Java event subclass fired (NewActiveUntilEvent vs NewQuantityEvent); not a stored column.
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,newActiveUntilProvided,input,purchase_order.active_until,derived,"Null-check on the event's new active-until value, sourced from purchase_order.active_until."
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,oldActiveUntilProvided,input,purchase_order.active_until,derived,"Null-check on the event's prior active-until value (same column, earlier snapshot)."
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,processCancellationFee,output,n/a,not-persisted,"Gates whether a fee-order-generation routine runs; the decision result itself is not stored, only its side effect (a new one-time fee order row) is."
Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,candidateDateProvided,input,n/a,not-persisted,"Null-check on a transient Date parameter (either ""now"", or a proposed new purchase_order.active_until)."
Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,nextBillableDayProvided,input,purchase_order.next_billable_day,derived,Null-check on purchase_order.next_billable_day (nullable date column).
Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,periodAlreadyInvoiced,output,n/a,not-persisted,Gates whether a period-cancelled event fires and whether a refund order is generated; never itself persisted.
Order_Cancellation_and_Validity.dmn,Order Date Range Valid,parseOrAccessError,input,n/a,not-persisted,"Boolean by deliberate exception: collapses several reflection/parsing exception types into one technical failure flag, not a business comparison."
Order_Cancellation_and_Validity.dmn,Order Date Range Valid,startDateProvided,input,n/a,not-persisted,Generic @DateRange bean-validation annotation resolves the field name per use-site via reflection; no single fixed schema column applies.
Order_Cancellation_and_Validity.dmn,Order Date Range Valid,endDateProvided,input,n/a,not-persisted,"Same as startDateProvided -- annotation-parameterized field name, not a fixed column."
Order_Cancellation_and_Validity.dmn,Order Date Range Valid,dateRangeValid,output,n/a,not-persisted,"Bean-validation pass/fail result, never stored -- only used to accept or reject the incoming request."
Proration_and_Tax.dmn,Cycle Start Source,hasNextBillableDay,input,purchase_order.next_billable_day,derived,Boolean derived from next_billable_day IS NOT NULL.
Proration_and_Tax.dmn,Cycle Start Source,hasCycleStarts,input,purchase_order.cycle_start,derived,Boolean derived from cycle_start IS NOT NULL. Getter name is plural (getCycleStarts()) vs. singular column name.
Proration_and_Tax.dmn,Cycle Start Source,cycleStartDateSource,output,n/a,not-persisted,"A string label naming which real column/parameter supplies the winning date, not itself a stored value."
Proration_and_Tax.dmn,Daily Pro-Rate Amount,daysInCycle,input,n/a,derived,Computed at runtime from order_period.value/unit_id via PeriodOfTime; never stored as its own column.
Proration_and_Tax.dmn,Daily Pro-Rate Amount,daysInPeriod,input,n/a,derived,"Computed the same way as daysInCycle, for the actual (possibly partial) billed date range."
Proration_and_Tax.dmn,Daily Pro-Rate Amount,fullPrice,input,item_price.price,derived,"Traces back to the item's full-period price, passed down through the composition-task pipeline rather than read directly from the column in this decision."
Proration_and_Tax.dmn,Daily Pro-Rate Amount,proratedAmount,output,order_line.amount,derived,"The returned value is what an invoice/order line eventually persists as order_line.amount, via construction code outside this decision."
Proration_and_Tax.dmn,Tax Calculation Needed,customContactFieldConfigured,input,n/a (plugin param custom_contact_field_id),not-persisted,"A pluggable_task_parameter configuration value, not a row in a business table."
Proration_and_Tax.dmn,Tax Calculation Needed,primaryContactFound,input,contact (existence),derived,Boolean derived from whether a primary contact row exists for the customer.
Proration_and_Tax.dmn,Tax Calculation Needed,matchingFieldValue,input,contact_field.content,direct - exact match,"contact_field.content, tested case-insensitively against ""yes""/""true""."
Proration_and_Tax.dmn,Tax Calculation Needed,taxCalculationNeeded,output,n/a,not-persisted,Runtime gate for whether a tax invoice line is added; no column records this decision's outcome.
Proration_and_Tax.dmn,Tax Calculation Mode,taxItemHasPercentage,input,item.percentage,derived,Boolean derived from item.percentage IS NOT NULL for the configured tax item.
Proration_and_Tax.dmn,Tax Calculation Mode,taxCalculationMode,output,n/a,SCHEMA GAP,No explicit tax-type/discriminator column exists on item; PERCENTAGE vs. FLAT is entirely implied by the nullability of the single percentage column.
Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,hasEntitySpecificExchange,input,"currency_exchange (entity_id, currency_id)",derived,Boolean derived from existence of a currency_exchange row keyed by the real entity_id and currency_id.
Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,hasSystemDefaultExchange,input,"currency_exchange (entity_id=0, currency_id)",derived,Boolean derived from existence of a currency_exchange row keyed by the undocumented sentinel entity_id=0; nothing in the schema marks entity_id=0 as special.
Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,exchangeRateSource,output,n/a,not-persisted,"Which row wins is decided at read time; the winning currency_exchange.rate value is a direct column read, but which source won is never itself recorded."
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,newActiveUntil,input,purchase_order.active_until,derived,"exposed directly (event’s new value), replacing newActiveUntilBeforeOld (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,oldActiveUntil,input,purchase_order.active_until,derived,"exposed directly (event’s prior value, same column) for the cross-variable comparison"
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,newQuantity,input,order_line.quantity,derived,"exposed directly, replacing quantityDecreased (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,oldQuantity,input,order_line.quantity,derived,"exposed directly (prior value, same column) for the cross-variable comparison"
Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,candidateDate,input,n/a,not-persisted,"exposed directly (transient parameter -- ""now"" or a proposed active_until), replacing candidateDateBeforeNextBillableDay (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,nextBillableDay,input,purchase_order.next_billable_day,direct,exposed directly for the cross-variable comparison
Order_Cancellation_and_Validity.dmn,Order Date Range Valid,startDate,input,n/a,not-persisted,"exposed directly, replacing startBeforeEnd; still not a fixed column since @DateRange(start=,end=) names whichever two DTO fields apply per use-site (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Order_Cancellation_and_Validity.dmn,Order Date Range Valid,endDate,input,n/a,not-persisted,exposed directly for the cross-variable comparison; same per-use-site caveat as startDate
